Year,H.S Code,Commodity Description,Country,Value (S.R),Weight (kg)
2016,8041010,FRESH DATES,ETHIOPIA,438457.0,"431,527"
2016,8041010,FRESH DATES,ERITREA,84000.0,"20,000"
2016,8041010,FRESH DATES,SPAIN,8020.0,"1,230"
2016,8041010,FRESH DATES,AUSTRALIA,692235.0,"96,568"
2016,8041010,FRESH DATES,AFGHANISTAN,795996.0,"150,068"
2016,8041010,FRESH DATES,JORDAN,23225346.0,"4,004,022"
2016,8041010,FRESH DATES,UNITED ARAB EMIRATES,10372545.0,"2,285,004"
2016,8041010,FRESH DATES,ALBANIA,199825.0,"47,346"
2016,8041010,FRESH DATES,BAHRAIN,104900.0,"41,680"
2016,8041010,FRESH DATES,BOSNIA & HERZEGOVINA,50010.0,"20,000"
2016,8041010,FRESH DATES,CZECH REPUBLIC,6658.0,625
2016,8041010,FRESH DATES,GABON,4500.0,"3,000"
2016,8041010,FRESH DATES,ALGERIA,1342900.0,"256,080"
2016,8041010,FRESH DATES,REPUBLIC OF YEMEN,30607257.0,"11,160,781"
2016,8041010,FRESH DATES,SENEGAL,927387.0,"194,400"
2016,8041010,FRESH DATES,SUDAN,1048419.0,"204,580"
2016,8041010,FRESH DATES,SWEDEN,309407.0,"62,126"
2016,8041010,FRESH DATES,CHINA,175600.0,"81,700"
2016,8041010,FRESH DATES,IRAQ,392432.0,"267,306"
2016,8041010,FRESH DATES,PHILIPPINES,562530.0,"110,110"
2016,8041010,FRESH DATES,CAMEROON,2000.0,"1,000"
2016,8041010,FRESH DATES,KUWAIT,14204604.0,"4,084,377"
2016,8041010,FRESH DATES,GERMANY,890705.0,"35,821"
2016,8041010,FRESH DATES,MOROCCO,4422138.0,"526,090"
2016,8041010,FRESH DATES,UNITED KINGDOM,2662034.0,"225,557"
2016,8041010,FRESH DATES,NORWAY,1500.0,80
2016,8041010,FRESH DATES,AUSTRIA,3240.0,140
2016,8041010,FRESH DATES,NIGER,97610.0,"13,584"
2016,8041010,FRESH DATES,INDIA,2414501.0,"758,303"
2016,8041010,FRESH DATES,U.S.A,2106421.0,"98,145"
2016,8041010,FRESH DATES,JAPAN,1000.0,59
2016,8041010,FRESH DATES,INDONESIA,3272514.0,"882,016"
2016,8041010,FRESH DATES,UGANDA,72000.0,"13,200"
2016,8041010,FRESH DATES,IRELAND,1000.0,543
2016,8041010,FRESH DATES,ITALY,17230.0,"21,652"
2016,8041010,FRESH DATES,PAKISTAN,2243061.0,"432,775"
2016,8041010,FRESH DATES,BRUNEI DARUSSALAM,42922.0,"9,111"
2016,8041010,FRESH DATES,BELGIUM,392287.0,"135,540"
2016,8041010,FRESH DATES,BULGARIA,72391.0,"19,560"
2016,8041010,FRESH DATES,BANGLADESH,1475700.0,"487,947"
2016,8041010,FRESH DATES,PANAMA,2800.0,530
2016,8041010,FRESH DATES,BENIN,462027.0,"116,064"
2016,8041010,FRESH DATES,THAILAND,196312.0,"55,045"
2016,8041010,FRESH DATES,TAIWAN,87000.0,"4,000"
2016,8041010,FRESH DATES,TURKEY,43627626.0,"14,115,897"
2016,8041010,FRESH DATES,TANZANIA,1533147.0,"376,160"
2016,8041010,FRESH DATES,TOGO,3000.0,"4,000"
2016,8041010,FRESH DATES,GAMBIA,251000.0,"56,329"
2016,8041010,FRESH DATES,COMOROS,265398.0,"50,031"
2016,8041010,FRESH DATES,MALDIVES,413970.0,"53,364"
2016,8041010,FRESH DATES,SOMALIA,12331188.0,"5,616,410"
2016,8041010,FRESH DATES,SOUTH AFRICA,2852349.0,"108,206"
2016,8041010,FRESH DATES,DJIBOUTI,5180750.0,"1,875,717"
2016,8041010,FRESH DATES,RUSSIAN FEDERATION,941068.0,"36,234"
2016,8041010,FRESH DATES,ROMANIA,1200.0,70
2016,8041010,FRESH DATES,ZAMBIA,23000.0,"2,220"
2016,8041010,FRESH DATES,ZIMBABWE,1000.0,80
2016,8041010,FRESH DATES,COTE D'IVOIRE,5900.0,"3,429"
2016,8041010,FRESH DATES,SAO TOME AND PRINCIPE,8213.0,"2,000"
2016,8041010,FRESH DATES,SULTANATE OF OMAN,776025.0,"162,739"
2016,8041010,FRESH DATES,SINGAPORE,4148662.0,"257,086"
2016,8041010,FRESH DATES,SYRIA,652074.0,"218,198"
2016,8041010,FRESH DATES,SWITZERLAND,234240.0,"19,012"
2016,8041010,FRESH DATES,SIERRA LEONE,9400.0,"4,500"
2016,8041010,FRESH DATES,SRI LANKA,1499250.0,"327,155"
2016,8041010,FRESH DATES,GHANA,285998.0,"73,000"
2016,8041010,FRESH DATES,GUINEA,53200.0,"32,000"
2016,8041010,FRESH DATES,FRANCE,510046.0,"99,675"
2016,8041010,FRESH DATES,KYRGYZSTAN,4000.0,500
2016,8041010,FRESH DATES,QATAR,1076374.0,"192,997"
2016,8041010,FRESH DATES,KAZAKHSTAN,11815.0,425
2016,8041010,FRESH DATES,CANADA,3107341.0,"256,712"
2016,8041010,FRESH DATES,SOUTH KOREA,7468.0,105
2016,8041010,FRESH DATES,KENYA,430171.0,"300,265"
2016,8041010,FRESH DATES,LEBANON,32136297.0,"4,867,098"
2016,8041010,FRESH DATES,MALAYSIA,13674360.0,"641,783"
2016,8041010,FRESH DATES,EGYPT,4429976.0,"1,463,030"
2016,8041010,FRESH DATES,MALAWI,500.0,56
2016,8041010,FRESH DATES,MAURITANIA,4296237.0,"1,109,700"
2016,8041010,FRESH DATES,MAURITIUS,159107.0,"14,297"
2016,8041010,FRESH DATES,MOZAMBIQUE,112500.0,"20,000"
2016,8041010,FRESH DATES,MOLDOVA,11475.0,105
2016,8041010,FRESH DATES,NIGERIA,76512.0,"29,397"
2016,8041010,FRESH DATES,NETHERLANDS,1071750.0,"241,229"
2016,8041010,FRESH DATES,HONG KONG,94881.0,"5,876"
2016,8041021,STORED DATES,UZBEKISTAN,16061.0,"2,460"
2016,8041021,STORED DATES,ETHIOPIA,556499.0,"104,100"
2016,8041021,STORED DATES,AZERBAIJAN,345000.0,"23,000"
2016,8041021,STORED DATES,ERITREA,2484.0,"4,100"
2016,8041021,STORED DATES,SPAIN,22522.0,"3,890"
2016,8041021,STORED DATES,AUSTRALIA,624218.0,"51,990"
2016,8041021,STORED DATES,AFGHANISTAN,30901.0,"5,320"
2016,8041021,STORED DATES,ARGENTINA,20044.0,"3,310"
2016,8041021,STORED DATES,JORDAN,12177220.0,"1,815,320"
2016,8041021,STORED DATES,UNITED ARAB EMIRATES,26047090.0,"4,589,898"
2016,8041021,STORED DATES,ALBANIA,16318.0,"2,460"
2016,8041021,STORED DATES,BAHRAIN,5414417.0,"1,503,588"
2016,8041021,STORED DATES,PORTUGAL,9958.0,"1,240"
2016,8041021,STORED DATES,BOSNIA & HERZEGOVINA,353202.0,"105,780"
2016,8041021,STORED DATES,CZECH REPUBLIC,17701.0,"3,096"
2016,8041021,STORED DATES,GABON,24284.0,"4,100"
2016,8041021,STORED DATES,ALGERIA,17198.0,"4,060"
2016,8041021,STORED DATES,REPUBLIC OF YEMEN,45780050.0,"20,715,919"
2016,8041021,STORED DATES,DENMARK,24169.0,"11,880"
2016,8041021,STORED DATES,SENEGAL,63789.0,"17,740"
2016,8041021,STORED DATES,SUDAN,1246419.0,"957,109"
2016,8041021,STORED DATES,SWEDEN,1093904.0,"186,596"
2016,8041021,STORED DATES,CHINA,2890845.0,"1,317,823"
2016,8041021,STORED DATES,IRAQ,5108142.0,"2,272,518"
2016,8041021,STORED DATES,PHILIPPINES,185500.0,"32,450"
2016,8041021,STORED DATES,CAMEROON,2578992.0,"486,300"
2016,8041021,STORED DATES,KUWAIT,28840099.0,"5,798,577"
2016,8041021,STORED DATES,GERMANY,869666.0,"326,318"
2016,8041021,STORED DATES,HUNGARY,14201.0,"2,464"
2016,8041021,STORED DATES,MOROCCO,1889643.0,"278,049"
2016,8041021,STORED DATES,UNITED KINGDOM,3992477.0,"657,965"
2016,8041021,STORED DATES,NORWAY,21831.0,"2,229"
2016,8041021,STORED DATES,AUSTRIA,4000.0,918
2016,8041021,STORED DATES,NIGER,575398.0,"113,910"
2016,8041021,STORED DATES,INDIA,6405806.0,"2,117,071"
2016,8041021,STORED DATES,U.S.A,2671091.0,"397,850"
2016,8041021,STORED DATES,JAPAN,14758.0,"2,748"
2016,8041021,STORED DATES,GREECE,9701.0,"1,240"
2016,8041021,STORED DATES,INDONESIA,362563.0,"66,657"
2016,8041021,STORED DATES,UKRAINE,8261.0,"1,918"
2016,8041021,STORED DATES,IRELAND,8581.0,918
2016,8041021,STORED DATES,ITALY,16198.0,"3,148"
2016,8041021,STORED DATES,PAKISTAN,1477424.0,"359,068"
2016,8041021,STORED DATES,BRUNEI DARUSSALAM,3527301.0,"157,980"
2016,8041021,STORED DATES,BELGIUM,18208.0,"3,574"
2016,8041021,STORED DATES,BULGARIA,14943.0,"2,048"
2016,8041021,STORED DATES,BANGLADESH,4340667.0,"839,410"
2016,8041021,STORED DATES,BENIN,389100.0,"82,000"
2016,8041021,STORED DATES,POLAND,9701.0,"1,240"
2016,8041021,STORED DATES,THAILAND,287451.0,"50,838"
2016,8041021,STORED DATES,TAIWAN,42856.0,"6,670"
2016,8041021,STORED DATES,TURKMENISTAN,24541.0,"4,100"
2016,8041021,STORED DATES,TURKEY,6469010.0,"1,521,565"
2016,8041021,STORED DATES,CHAD,42400.0,"4,100"
2016,8041021,STORED DATES,TANZANIA,435122.0,"162,485"
2016,8041021,STORED DATES,TUNISIA,15998.0,"3,160"
2016,8041021,STORED DATES,GAMBIA,35500.0,"16,500"
2016,8041021,STORED DATES,COMOROS,70954.0,"17,520"
2016,8041021,STORED DATES,MALDIVES,3000.0,"1,000"
2016,8041021,STORED DATES,SOMALIA,1650600.0,"498,400"
2016,8041021,STORED DATES,SOUTH AFRICA,955230.0,"100,003"
2016,8041021,STORED DATES,DJIBOUTI,860167.0,"244,916"
