Year,H.S Code,Commodity Description AR,Commodity Description EN,Country AR ,Country EN ,Value (S.R),Weight (kg)
2016,8041010,تمر طازج,FRESH DATES,اثيوبيا,ETHIOPIA,"438,457","431,527"
2016,8041010,تمر طازج,FRESH DATES,اريتيريا,ERITREA,"84,000","20,000"
2016,8041010,تمر طازج,FRESH DATES,اسبانيا,SPAIN,"8,020","1,230"
2016,8041010,تمر طازج,FRESH DATES,استراليا,AUSTRALIA,"692,235","96,568"
2016,8041010,تمر طازج,FRESH DATES,افغانسـتان,AFGHANISTAN,"795,996","150,068"
2016,8041010,تمر طازج,FRESH DATES,الاردن,JORDAN,"23,225,346","4,004,022"
2016,8041010,تمر طازج,FRESH DATES,الامارات العربية المتحدة,UNITED ARAB EMIRATES,"10,372,545","2,285,004"
2016,8041010,تمر طازج,FRESH DATES,البانيا,ALBANIA,"199,825","47,346"
2016,8041010,تمر طازج,FRESH DATES,البحرين,BAHRAIN,"104,900","41,680"
2016,8041010,تمر طازج,FRESH DATES,البوسنة والهرسك,BOSNIA & HERZEGOVINA,"50,010","20,000"
2016,8041010,تمر طازج,FRESH DATES,التشيك,CZECH REPUBLIC,"6,658",625
2016,8041010,تمر طازج,FRESH DATES,الجابون,GABON,"4,500","3,000"
2016,8041010,تمر طازج,FRESH DATES,الجزائر,ALGERIA,"1,342,900","256,080"
2016,8041010,تمر طازج,FRESH DATES,الجمهورية اليمنية,REPUBLIC OF YEMEN,"30,607,257","11,160,781"
2016,8041010,تمر طازج,FRESH DATES,السـنغال,SENEGAL,"927,387","194,400"
2016,8041010,تمر طازج,FRESH DATES,السـودان,SUDAN,"1,048,419","204,580"
2016,8041010,تمر طازج,FRESH DATES,السويد,SWEDEN,"309,407","62,126"
2016,8041010,تمر طازج,FRESH DATES,الصـين,CHINA,"175,600","81,700"
2016,8041010,تمر طازج,FRESH DATES,العراق,IRAQ,"392,432","267,306"
2016,8041010,تمر طازج,FRESH DATES,الـفـلبين,PHILIPPINES,"562,530","110,110"
2016,8041010,تمر طازج,FRESH DATES,الكميرون,CAMEROON,"2,000","1,000"
2016,8041010,تمر طازج,FRESH DATES,الكويت,KUWAIT,"14,204,604","4,084,377"
2016,8041010,تمر طازج,FRESH DATES,المانيا,GERMANY,"890,705","35,821"
2016,8041010,تمر طازج,FRESH DATES,المغرب,MOROCCO,"4,422,138","526,090"
2016,8041010,تمر طازج,FRESH DATES,المملكة المتحدة,UNITED KINGDOM,"2,662,034","225,557"
2016,8041010,تمر طازج,FRESH DATES,النرويج,NORWAY,"1,500",80
2016,8041010,تمر طازج,FRESH DATES,النمسـا,AUSTRIA,"3,240",140
2016,8041010,تمر طازج,FRESH DATES,النيجر,NIGER,"97,610","13,584"
2016,8041010,تمر طازج,FRESH DATES,الـهـنـد,INDIA,"2,414,501","758,303"
2016,8041010,تمر طازج,FRESH DATES,الولايات المتحدة الامريكية,U.S.A,"2,106,421","98,145"
2016,8041010,تمر طازج,FRESH DATES,الـيـابـان,JAPAN,"1,000",59
2016,8041010,تمر طازج,FRESH DATES,انـدونيسـيا,INDONESIA,"3,272,514","882,016"
2016,8041010,تمر طازج,FRESH DATES,اوغندا,UGANDA,"72,000","13,200"
2016,8041010,تمر طازج,FRESH DATES,ايرلندا,IRELAND,"1,000",543
2016,8041010,تمر طازج,FRESH DATES,ايطاليا,ITALY,"17,230","21,652"
2016,8041010,تمر طازج,FRESH DATES,باكسـتان,PAKISTAN,"2,243,061","432,775"
2016,8041010,تمر طازج,FRESH DATES,بروناي دار السلام,BRUNEI DARUSSALAM,"42,922","9,111"
2016,8041010,تمر طازج,FRESH DATES,بلجيكا,BELGIUM,"392,287","135,540"
2016,8041010,تمر طازج,FRESH DATES,بلغاريا,BULGARIA,"72,391","19,560"
2016,8041010,تمر طازج,FRESH DATES,بنجـلادش,BANGLADESH,"1,475,700","487,947"
2016,8041010,تمر طازج,FRESH DATES,بنما,PANAMA,"2,800",530
2016,8041010,تمر طازج,FRESH DATES,بنين (داهومي),BENIN,"462,027","116,064"
2016,8041010,تمر طازج,FRESH DATES,تـايلند,THAILAND,"196,312","55,045"
2016,8041010,تمر طازج,FRESH DATES,تايوان,TAIWAN,"87,000","4,000"
2016,8041010,تمر طازج,FRESH DATES,تركيا,TURKEY,"43,627,626","14,115,897"
2016,8041010,تمر طازج,FRESH DATES,تنزانيا,TANZANIA,"1,533,147","376,160"
2016,8041010,تمر طازج,FRESH DATES,توجو,TOGO,"3,000","4,000"
2016,8041010,تمر طازج,FRESH DATES,جامبيا,GAMBIA,"251,000","56,329"
2016,8041010,تمر طازج,FRESH DATES,جزر القمر,COMOROS,"265,398","50,031"
2016,8041010,تمر طازج,FRESH DATES,جزر المالديف,MALDIVES,"413,970","53,364"
2016,8041010,تمر طازج,FRESH DATES,جمهورية الصومال,SOMALIA,"12,331,188","5,616,410"
2016,8041010,تمر طازج,FRESH DATES,جنوب افريقيا,SOUTH AFRICA,"2,852,349","108,206"
2016,8041010,تمر طازج,FRESH DATES,جيبوتي,DJIBOUTI,"5,180,750","1,875,717"
2016,8041010,تمر طازج,FRESH DATES,روسيا الاتحادية,RUSSIAN FEDERATION,"941,068","36,234"
2016,8041010,تمر طازج,FRESH DATES,رومانيا,ROMANIA,"1,200",70
2016,8041010,تمر طازج,FRESH DATES,زامبيا,ZAMBIA,"23,000","2,220"
2016,8041010,تمر طازج,FRESH DATES,زمبابوي,ZIMBABWE,"1,000",80
2016,8041010,تمر طازج,FRESH DATES,ساحل العاج (كوت دي فوار),COTE D'IVOIRE,"5,900","3,429"
